verdict,text,part_single,part_concatenated
SH-19-08-33421-111,"בגיל 16 בשל מעבר למסגרת לימודים הקרובה לבית סבתו, עבר הנאשם להתגורר עמה.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,הנאשם שירת שירות צבאי מלא כטכנאי מטוסים ובהמשך כנהג.,"הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"לדבריו, מאחר שרצה לעבוד במקביל לשירותו הצבאי ודרישותיו לא נענו, ערק מהצבא למשך מספר חודשים וריצה עונש מאסר בכלא צבאי, שלאחריו המשיך בשירותו.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"לאחר שחרורו, עבד הנאשם בעבודות מזדמנות, בעיקר בתחום התקנת מיזוג אוויר, ולפני שלוש שנים למד קורסים מקצועיים בתחום זה.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"עוד מסר הנאשם כי פתח מועדון לילה במקביל לתעסוקתו כשכיר, אך עקב הכנסות מצומצמות החל לצבור חובות ונאלץ לסגור את העסק.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"הנאשם תיאר כי חווה משבר רגשי בעקבות הסתבכותו הכלכלית, בגינו הגביר את השימוש בקנבוס וכי לאחר שחרורו ממעצר, פתח עסק עצמאי בתחום התקנת מזגנים ופועל לשיקום מצבו הכלכלי והסדרת חובותיו.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"שירות המבחן התרשם ממורכבות מצבו המשפטי של הנאשם, כך שבנוסף תלויים ועומדים  נגדו  גם תיקים בתחום התעבורה וכן הוא מאופיין בדפוסים התמכרותיים.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"שירות המבחן העריך כי בעיתוי זה הנאשם ממשיך לפעול מתוך הדפוסים שקדמו לביצוע העבירות, בהם קשייו לשקול את השלכות מעשיו ומצבי הסיכון, וקושי לחשוף את קשייו מול גורמי הטיפול וכי לצורך הפחתת הסיכון במצבו, לפיכך סבר שירות המבחן כי  הנאשם זקוק להמשך טיפול בתחום ההתמכרויות.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"באשר לעבירות נושא התיקים דנן, הנאשם לקח אחריות על ביצוען והביע חרטה.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
SH-19-08-33421-111,"באשר לעבירת הסמים בתיק העיקרי, מסר הנאשם כי חווה מצוקה רגשית עקב קשיים כלכליים, בעטייםהשתמש בקנבוס באופן יומיומי כדי להתמודד עם קשייו והחזיק בסם בביתו לשימושו העצמי.","הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן","בית משפט השלום בראשון לציון, בית משפט השלום בראשון לציון, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, כבוד השופטת, סגנית הנשיא  שירלי דקל נוה, המאשימה, מדינת ישראל , נגד, נגד, הנאשם, גזר דין, כתבי האישום, הסדר הטיעון, התנהלות ההליכים המשפטיים ותסקירי שירות המבחן"
